"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"24","Red Bull Leipzig","RBL","VfL Wolfsburg","WOB","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","FC Schalke 04","S04","FC Augsburg","FCA","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","FC Augsburg","FCA","SC Freiburg","SCF","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","Borussia Dortmund","BVB","FC Ingolstadt 04","FCI","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","Borussia Mönchengladbach","BMG","FC Bayern München","FCB","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","Eintracht Frankfurt","SGE","Hamburger SV","HSV","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","TSG 1899 Hoffenheim","HOF","Bayer 04 Leverkusen","LEV","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","1. FC Köln","KOE","Hertha BSC","BSC","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","1. FSV Mainz 05","M05","FC Schalke 04","S04","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","SV Werder Bremen","BRE","Red Bull Leipzig","RBL","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"25","VfL Wolfsburg","WOB","SV Darmstadt 98","DAR","Sa, 18. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"26","Bayer 04 Leverkusen","LEV","VfL Wolfsburg","WOB","Sa, 01. April 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"26","FC Bayern München","FCB","FC Augsburg","FCA","Sa, 01. April 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"26","Eintracht Frankfurt","SGE","Borussia Mönchengladbach","BMG","Sa, 01. April 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
